ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
1,18.492651,77.377305,9.9,-47.6,6.5,0.15,Negativno,Ne
2,18.487858,77.406654,3.7,-80.6,7.03,1.28,Negativno,Ne
3,18.472394,77.387339,0.4,-46.7,7.24,5.9,Negativno,Ne
4,18.465737,77.384102,2.5,-37.3,6.91,2.15,Negativno,Ne
5,18.488285,77.398061,14.8,-38.3,7.18,3.39,Negativno,Ne
6,18.4856,77.391974,11.4,-67.5,5.67,3.28,Negativno,Ne
7,18.475966,77.392257,5.1,-49.6,7.71,2.96,Pozitivno,Ne
8,18.480108,77.384004,2.3,-72.5,7.56,2.14,Negativno,Ne
9,18.465702,77.398025,1.9,-46.2,7.05,3.09,Negativno,Ne
10,18.476242,77.388056,8.6,-48.1,6.65,2.57,Negativno,Ne
11,18.485386,77.385787,0.6,-45.9,7.34,5.67,Negativno,Da
12,18.486958,77.389726,3.8,-48.9,6.71,3.26,Negativno,Ne
13,18.479418,77.38204,14.6,-60.2,7.49,0.88,Negativno,Ne
14,18.481201,77.397518,1.9,-35.9,6.12,4.46,Negativno,Ne
15,18.48783,77.392562,5.5,-11.4,6.87,9.704994142660071,Pozitivno,Da
16,18.483058,77.392415,13.3,-46.5,6.87,0.86,Negativno,Ne
17,18.473513,77.384678,6.6,-32.3,6.94,4.53,Negativno,Ne
18,18.480493,77.401479,12.4,-76.6,6.81,5.14,Pozitivno,Ne
19,18.479355,77.388899,11.6,-50.6,5.82,2.45,Negativno,Ne
20,18.473457,77.382481,14.8,-35.4,6.66,2.74,Negativno,Ne
21,18.479869,77.385342,6.2,-47.1,6.45,0.72,Negativno,Ne
22,18.45887,77.386229,7.1,-71.5,6.68,3.38,Negativno,Ne
23,18.490845,77.383806,14.8,-61.1,8.03,0.41,Negativno,Ne
24,18.47518,77.394928,13.7,-85.9,7.04,0.15,Negativno,Ne
